Link outLinkSimilarity inLinkSimilarity lexicalSimilarity numOutLinks numInLinks length CategorySimilarity
/wiki/Memento_(film) 0.0352112676056 0.0540229885057 0.138010087116 148 323 25777 5
/wiki/Batman_Begins 0.070796460177 0.0374193548387 0.153626731866 243 1014 32120 5
/wiki/The_Dark_Knight_(film) 0.0785340314136 0.0508953817154 0.149709302326 288 1644 44268 7
/wiki/Warner_Bros. 0.011320754717 0.00274809160305 0.115300942712 413 6265 52730 0
/wiki/Spec_script 0.0143540669856 0.00131061598952 0.0303225806452 54 173 3122 0
/wiki/Principal_photography 0.00469483568075 0.00433275563258 0.0302631578947 55 565 2543 0
/wiki/Tokyo 0.0149253731343 0.000325892129705 0.0759336099585 539 5661 28386 0
/wiki/Cardington,_Bedfordshire 0.00510204081633 0.00116144018583 0.0339174674958 239 268 7869 0
/wiki/Guy_Hendrix_Dyas 0.0 0.0194489465154 0.0117160578911 11 35 576 0
/wiki/Chris_Corbould 0.0 0.0123266563945 0.0117647058824 5 63 383 0
/wiki/Wally_Pfister 0.0295566502463 0.0521327014218 0.0554140127389 57 72 4450 0
/wiki/Gravity 0.0 0.0 0.0596355604638 90 2070 11930 0
/wiki/Stanley_Kubrick 0.0161001788909 0.010835214447 0.126976954361 466 1647 111026 0
/wiki/2001:_A_Space_Odyssey_(film) 0.0325 0.0131128848347 0.137594799567 282 1189 81248 2
/wiki/Hamster_wheel 0.0 0.0 0.0316742081448 13 39 3514 0
/wiki/University_College_London 0.00848896434635 0.00126646403242 0.0737254901961 543 3415 35992 0
/wiki/University_College_London#Libraries 0.00848896434635 0.0 0.0737254901961 543 49 35992 0
/wiki/French_language 0.010101010101 0.00018040772145 0.0684186678749 321 4952 25551 0
/wiki/Paris 0.00885935769657 0.00036443148688 0.0848718655277 1009 4896 75451 0
/wiki/Bistro 0.0119760479042 0.0 0.0226364846871 11 133 1393 0
/wiki/Nitrogen 0.00215982721382 0.0 0.0579345088161 400 5023 27111 0
/wiki/Tangiers 0.00811359026369 0.0 0.0630125161847 382 167 21417 0
/wiki/Mombasa 0.00580270793037 0.000552181115406 0.0527182866557 411 1233 24631 0
/wiki/Grand_Socco 0.0 0.00156985871272 0.00738255033557 9 81 1023 0
/wiki/Hand-held_camera 0.0 0.00151515151515 0.0525373134328 31 67 6683 0
/wiki/Steadicam 0.00561797752809 0.00125 0.0375704445836 20 208 4049 0
/wiki/Los_Angeles 0.00561797752809 0.000816193274567 0.0755372945638 1028 5562 53268 0
/wiki/Sound_stage 0.00520833333333 0.0 0.0566272557561 36 307 4610 0
/wiki/Nijo_Castle 0.00537634408602 0.0 0.0332125603865 36 18 5721 0
/wiki/Japanese_architecture 0.00589970501475 0.0 0.0680386392272 216 208 22774 0
/wiki/Car_chase 0.0122950819672 0.00136054421769 0.0700389105058 89 143 9348 0
/wiki/Fiberglass 0.01 0.0 0.05044345898 42 1021 9588 0
/wiki/Water_cannon 0.00952380952381 0.0 0.0458937198068 57 142 6049 0
/wiki/Ford_E-Series 0.0 0.0 0.058310626703 74 340 12392 0
/wiki/Commodore_Schuyler_F._Heim_Bridge 0.00584795321637 0.0 0.0159893404397 12 10 1466 0
/wiki/Diving_cylinder 0.00473933649289 0.0 0.0746426680783 70 99 15403 0
/wiki/Buddy_breathing 0.00581395348837 0.0 0.0180120080053 13 4 1637 0
/wiki/Alberta 0.00295857988166 0.0 0.0761474269819 599 5173 48139 0
/wiki/Fortress_Mountain_Resort 0.00578034682081 0.0 0.018654230513 14 521 1872 0
/wiki/James_Bond 0.0 0.00183187461836 0.108858527986 309 4330 26634 0
/wiki/On_Her_Majesty's_Secret_Service_(film) 0.0215827338129 0.0 0.113941018767 147 319 23935 2
/wiki/Anamorphic_format 0.0149253731343 0.0059880239521 0.0858666666667 52 257 16536 1
/wiki/35_mm_film 0.017667844523 0.00477489768076 0.0913120567376 170 910 30569 0
/wiki/70_mm_film 0.0228310502283 0.00911458333333 0.0658271322267 67 189 9608 0
/wiki/VistaVision 0.0366492146597 0.00423131170663 0.0678975580703 45 119 7692 0
/wiki/IMAX 0.0398773006135 0.00779220779221 0.114790286976 200 1371 27409 1
/wiki/The_Dark_Knight_(film) 0.0785340314136 0.0508953817154 0.149709302326 288 1644 44268 7
/wiki/3-D_film 0.0188235294118 0.0120160213618 0.117397454031 335 930 48916 0
/wiki/Digital_video 0.00977198697068 0.0 0.0708491076257 164 368 14796 0
/wiki/Reality 0.00221238938053 0.00346191889219 0.066373840898 343 1435 17053 0
/wiki/Computer-generated_imagery 0.0 0.0051993067591 0.0601060695345 38 1763 6842 0
/wiki/Practical_effect 0.0 0.0 0.0178326474623 7 30 848 0
/wiki/Miniature_effect 0.0201005025126 0.00157728706625 0.0512978986403 44 41 4559 0
/wiki/Gotham_City 0.0178117048346 0.00305576776165 0.10136286201 296 729 25839 0
/wiki/Batman_Begins 0.070796460177 0.0374193548387 0.153626731866 243 1014 32120 5
/wiki/Hans_Zimmer 0.0229508196721 0.0286624203822 0.0857142857143 172 698 12365 0
/wiki/Batman_Begins 0.070796460177 0.0374193548387 0.153626731866 243 1014 32120 5
